file,line,severity,category,description,code
FST_Cost_V1/config.php,65,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(0);
FST_Cost_V1/config.php,69,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL);
FST_Cost_V1/config.php,72,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,"ini_set('display_errors', 1);"
FST_Cost_V1/config.php,77,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL & ~E_DEPRECATED & ~E_STRICT);
FST_Cost_V1/config.php,142,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"error_log(""Database connection error: "" . $e->getMessage());"
FST_Cost_V1/config.php,146,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"die(""Database connection failed: "" . $e->getMessage());"
FST_Cost_V1/config.php,260,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT 1 FROM information_schema.columns"
FST_Cost_V1/dashboard.php,10,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/index.php,10,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/index.php,12,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/login.php,12,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/login.php,17,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$lang = $_GET['lang'] ?? $_SESSION['language'] ?? 'en';
FST_Cost_V1/login.php,34,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$username = trim($_POST['username'] ?? '');
FST_Cost_V1/login.php,35,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$password = trim($_POST['password'] ?? '');
FST_Cost_V1/login.php,79,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,if (isset($_POST['remember_me']) && $_POST['remember_me'] === 'on') {
FST_Cost_V1/login.php,99,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/login.php,146,high,xss,Kullanıcı girdisi doğrudan echo ile basılıyor olabilir.,"<input type=""text"" id=""username"" name=""username"" class=""form-control"" placeholder=""<?php echo $t_login['username'] ?? 'Username'; ?>"" value=""<?php echo isset($_COOKIE['remembered_username']) ? htmlspecialchars($_COOKIE['remembered_username']) : ''; ?>"" required>"
FST_Cost_V1/login.php,163,info,i18n,Çeviri dosyası dışında yerelleştirilmiş sabit metin olabilir.,"<option value=""tr"" <?php echo ($lang === 'tr') ? 'selected' : ''; ?>><?php echo $t_languages['tr'] ?? 'Türkçe'; ?></option>"
FST_Cost_V1/login.php,169,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,"<input type=""checkbox"" id=""remember_me"" name=""remember_me"" class=""form-check-input"" <?php echo (isset($_POST['remember_me']) || isset($_COOKIE['remembered_username'])) ? 'checked' : ''; ?>>"
FST_Cost_V1/login.php,169,high,xss,Kullanıcı girdisi doğrudan echo ile basılıyor olabilir.,"<input type=""checkbox"" id=""remember_me"" name=""remember_me"" class=""form-check-input"" <?php echo (isset($_POST['remember_me']) || isset($_COOKIE['remembered_username'])) ? 'checked' : ''; ?>>"
FST_Cost_V1/logout.php,17,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,if (isset($_COOKIE['remembered_username'])) {
FST_Cost_V1/logout.php,27,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/api/definitions/costs.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/costs.php,38,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/costs.php,44,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/costs.php,111,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/costs.php,173,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database error: ' . $error]);"
FST_Cost_V1/api/definitions/costs.php,176,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Error: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/currencies.php,15,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL);
FST_Cost_V1/api/definitions/currencies.php,42,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/currencies.php,48,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/currencies.php,85,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : 0;
FST_Cost_V1/api/definitions/currencies.php,93,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : 0;
FST_Cost_V1/api/definitions/currencies.php,98,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$start = $_GET['start'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,99,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$end = $_GET['end'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,156,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
